date,price,market_cap,volumes_last_24h,token
2020-01-22,2.66731172,973758357.7209194,149439978.15991297,LINK
2020-01-23,2.63985369,961746875.4150294,122252954.28769718,LINK
2020-01-24,2.46275773,892966198.3583041,166822572.2604933,LINK
2020-01-25,2.49658967,909159164.7127994,126859807.9310297,LINK
2020-01-26,2.45063806,894193175.1944978,109562404.49032398,LINK
2020-01-27,2.56902397,934829742.3887025,114466697.8815793,LINK
2020-01-28,2.5991203,946362287.0340769,145571322.43945417,LINK
2020-01-29,2.63955853,961947524.2330085,175705703.32136762,LINK
2020-01-30,2.76428284,1012252030.556089,207322391.8939347,LINK
2020-01-31,2.9100713,1056105950.9917876,232571226.5595415,LINK
2020-02-01,2.81572637,1031143795.5343443,178496875.11894923,LINK
2020-02-02,2.82879302,1028514307.8978875,136753959.288524,LINK
2020-02-03,2.82690228,1030250570.9954115,167431974.92868707,LINK
2020-02-04,2.76447843,1007437680.388174,174441853.56558543,LINK
2020-02-05,2.73490008,994052855.2103516,154300731.79421467,LINK
2020-02-06,2.83420031,1035444973.302991,171991712.72499132,LINK
2020-02-07,2.88481384,1051282452.9134967,214774434.1149199,LINK
2020-02-08,3.31730284,1210800030.4984968,434838057.9934188,LINK
2020-02-09,3.42375947,1248267877.9293292,326290467.31032497,LINK
2020-02-10,3.39358126,1236024196.8833654,292022067.2376758,LINK
2020-02-11,3.41272668,1245359730.7194328,289241851.78303576,LINK
2020-02-12,3.97153984,1447267121.1660984,443656631.08558226,LINK
2020-02-13,4.00446933,1460421342.6249692,522592661.45325714,LINK
2020-02-14,3.8735987,1407530009.512849,396601619.4059206,LINK
2020-02-15,4.40902488,1602341466.5351012,486698178.73150533,LINK
2020-02-16,4.3007534,1575490685.3618805,591901187.799086,LINK
2020-02-17,4.49898541,1655213689.3596177,664194989.6298224,LINK
2020-02-18,4.30715817,1564311154.090281,563103382.7610658,LINK
2020-02-19,4.53579775,1659163357.8061647,464890360.2325757,LINK
2020-02-20,4.37168009,1603019894.012045,466279109.9119968,LINK
2020-02-21,4.26617488,1551662791.5638573,440478777.5737062,LINK
2020-02-22,4.28173644,1566313486.5345263,415404501.2879509,LINK
2020-02-23,4.09740154,1488244288.1982062,311916251.741246,LINK
2020-02-24,4.24860694,1552714326.3254926,359617948.92113155,LINK
2020-02-25,3.91700649,1424584497.386901,389238456.1006506,LINK
2020-02-26,3.51273091,1284747446.5701513,390687648.0052718,LINK
2020-02-27,3.61174744,1317400100.2834158,566778580.6133021,LINK
2020-02-28,3.9547418,1431040134.7740192,564102125.3202784,LINK
2020-02-29,4.19211591,1532209411.8175554,556238156.2798268,LINK
2020-03-01,4.07812668,1490255791.0713098,460516172.59672844,LINK
2020-03-02,3.88096502,1416982940.5452056,453705861.766722,LINK
2020-03-03,4.22712514,1537250426.7698655,453068792.1405311,LINK
2020-03-04,4.5734623,1681390212.9522552,573766834.9242369,LINK
2020-03-05,4.663738,1702019466.3742294,722046296.5904502,LINK
2020-03-06,4.68234777,1704838112.437681,617200385.3285514,LINK
2020-03-07,4.68386068,1706938071.6887908,434586780.58093745,LINK
2020-03-08,4.34769069,1576843075.3774896,408507786.66056645,LINK
2020-03-09,4.04421823,1477502212.0254056,592675608.6521628,LINK
2020-03-10,4.05684765,1474670491.0531507,834390908.2495811,LINK
2020-03-11,4.0790441,1500517498.8985987,616240780.3009392,LINK
2020-03-12,3.82326722,1391127714.2457955,444865796.3862768,LINK
2020-03-13,1.97442804,693758319.3547386,621181721.2937518,LINK
2020-03-14,2.42536784,866461227.0117182,849160224.5978607,LINK
2020-03-15,2.12947559,771458029.2142059,484653359.5633703,LINK
2020-03-16,2.10622945,773607184.621726,440444295.918326,LINK
2020-03-17,1.78949791,656900968.5147297,452772067.151706,LINK
2020-03-18,1.88894318,697345079.7622138,426609759.98074347,LINK
2020-03-19,1.93724283,703481841.573563,341795644.55198884,LINK
2020-03-20,2.24012068,818996488.3598888,418175871.05862373,LINK
2020-03-21,2.24944349,815418933.3371824,562951149.9615564,LINK
2020-03-22,2.26395674,823464601.8478825,323554653.00227183,LINK
2020-03-23,1.99396097,725199115.6070211,343441137.95437264,LINK
2020-03-24,2.25373833,816677279.9255012,319238355.7338405,LINK
2020-03-25,2.31451446,844207332.8590156,344047275.91622305,LINK
2020-03-26,2.261732,822141148.0202885,249527646.24616322,LINK
2020-03-27,2.29793149,837656568.8579577,254373787.7932318,LINK
2020-03-28,2.13143923,778770234.5882578,137894969.64897466,LINK
2020-03-29,2.13854745,778063130.1795595,277936773.5950862,LINK
2020-03-30,2.0226032,736953744.0682917,166701134.6932377,LINK
2020-03-31,2.1437474,783232332.0405982,227848434.2911878,LINK
2020-04-01,2.26191458,819668397.8492409,213106561.37599164,LINK
2020-04-02,2.27399736,833130323.542059,322143002.62456745,LINK
2020-04-03,2.29743138,835598442.1009198,326506059.9356787,LINK
2020-04-04,2.29528572,835789038.0251667,240583471.16582954,LINK
2020-04-05,2.31247557,841066634.2228593,183618405.40728968,LINK
2020-04-06,2.26652087,825794051.9345648,143720844.57240906,LINK
2020-04-07,2.52652212,920688836.8151833,310344717.1805083,LINK
2020-04-08,2.71208124,988166120.4914881,575523791.2736415,LINK
2020-04-09,3.16078229,1156007290.332823,485821606.3579747,LINK
2020-04-10,3.32176487,1211904755.3558497,631524668.942154,LINK
2020-04-11,3.21019556,1167451627.0980098,662303577.1163442,LINK
2020-04-12,3.29139986,1199191987.6336787,645584856.2400331,LINK
2020-04-13,3.43564176,1267509032.1713643,699575634.2396437,LINK
2020-04-14,3.37819419,1231074142.46906,592012238.8394704,LINK
2020-04-15,3.25003006,1187081760.5357327,563764620.8961517,LINK
2020-04-16,3.1313106,1142966175.5447679,446311089.266851,LINK
2020-04-17,3.45663002,1263976149.5481355,640826576.6041602,LINK
2020-04-18,3.46019436,1270921369.8492894,483760633.1552506,LINK
2020-04-19,3.7850389,1376564155.7679865,462010955.1536608,LINK
2020-04-20,3.61179119,1318188035.6613538,483843735.233867,LINK
2020-04-21,3.44223154,1255584547.9226644,450372143.9497085,LINK
2020-04-22,3.45472601,1258479676.0098863,425071434.15541285,LINK
2020-04-23,3.67890159,1339172650.6931708,418343806.9894368,LINK
2020-04-24,3.69515261,1354883915.6333678,574171252.142445,LINK
2020-04-25,3.77858303,1379465990.1957376,399334721.6000844,LINK
2020-04-26,3.78519774,1378347128.04262,415179595.4733713,LINK
2020-04-27,3.71331303,1353748018.6660855,399516123.94231397,LINK
2020-04-28,3.61721857,1316724090.02585,564047324.4907207,LINK
